author,title,copies
http://www.connaissance.io/onto/biblio/authors#Benjamin_Hoff,Te of Piglet,1
http://www.connaissance.io/onto/biblio/authors#Betty_Edwards,Drawing on the Right Side of the Brain,1
http://www.connaissance.io/onto/biblio/authors#Betty_Wason,Encyclopedia of Cheese Cookery: a Salute to Cheese,1
http://www.connaissance.io/onto/biblio/authors#Bill_Griffith,Zippy : nation of pinheads,1
http://www.connaissance.io/onto/biblio/authors#Bill_Morris,All Souls' Day : a novel,1
http://www.connaissance.io/onto/biblio/authors#Bill_Watterson,The Essential Calvin and Hobbes,1
http://www.connaissance.io/onto/biblio/authors#Bjorn_Kjellstrom,Be Expert with Map and Compass,1
http://www.connaissance.io/onto/biblio/authors#Black_Elk,Black Elk Speaks,1
http://www.connaissance.io/onto/biblio/authors#Blue_Ribbon,Test Recipes with Blue Ribbon Malt Extract,1
http://www.connaissance.io/onto/biblio/authors#Bob_Dylan,"Chronicles, Volume One",1
http://www.connaissance.io/onto/biblio/authors#Bob_Dylan,The Concise Bob Dylan,1
http://www.connaissance.io/onto/biblio/authors#Bob_Dylan,The Superhuman Crew,1
http://www.connaissance.io/onto/biblio/authors#Bob_Dylan,Writings and Drawings,1
http://www.connaissance.io/onto/biblio/authors#Bob_Marley,Legend : the Best of Bob Marley and the Wailers,1
http://www.connaissance.io/onto/biblio/authors#Brad_Hansen,The dictionary of multimedia : terms & acronyms,1
http://www.connaissance.io/onto/biblio/authors#Brad_Leithauser,The friends of Freeland : a novel,1
http://www.connaissance.io/onto/biblio/authors#Bradford_Morrow,Trinity Fields,1
http://www.connaissance.io/onto/biblio/authors#Bradley_Denton,Lunatics,1
http://www.connaissance.io/onto/biblio/authors#Brett_Helquist,The Austere Academy,1
http://www.connaissance.io/onto/biblio/authors#Brett_Helquist,The Ersatz Elevator,1
http://www.connaissance.io/onto/biblio/authors#Brett_Helquist,The Miserable Mill,1
http://www.connaissance.io/onto/biblio/authors#Brewster_Ghiselin,The Creative Process,1
http://www.connaissance.io/onto/biblio/authors#Brian_Moore,The Magician's Wife,1
http://www.connaissance.io/onto/biblio/authors#Brooks_Hansen,"The chess garden, or, The twilight letters of Gustav Uyterhoeven",1
http://www.connaissance.io/onto/biblio/authors#Bruce_Chatwin,What Am I Doing Here,1
http://www.connaissance.io/onto/biblio/authors#Bruce_Shlain,"Acid dreams : the CIA, LSD, and the sixties rebellion",1
http://www.connaissance.io/onto/biblio/authors#Bruno_Nettl,The study of ethnomusicology : thirty-one issues and concepts,1
http://www.connaissance.io/onto/biblio/authors#Bryan_Thomas,Trails of the Gila: a guide to the recreational trails of the Silver City area,1
http://www.connaissance.io/onto/biblio/authors#CG_Jung,Synchronicity,1
http://www.connaissance.io/onto/biblio/authors#CS_Lewis,Mere Christianity,1
http://www.connaissance.io/onto/biblio/authors#Camilla_Lackberg,The Ice Princess,1
http://www.connaissance.io/onto/biblio/authors#Camille_Paglia,"Sex, art, and American culture essays",1
http://www.connaissance.io/onto/biblio/authors#Carl_Elliot,The Maritime northwest garden guide : planning calendar for year-round organic gardening,1
http://www.connaissance.io/onto/biblio/authors#Carl_Forest,The Physics of Caribou Creek,1
http://www.connaissance.io/onto/biblio/authors#Carl_Hiaasen,Basket Case,1
http://www.connaissance.io/onto/biblio/authors#Carl_Hiaasen,Hoot,1
http://www.connaissance.io/onto/biblio/authors#Carl_Hiaasen,Skinny Dip,1
http://www.connaissance.io/onto/biblio/authors#Carlos_Castaneda,Journey to Ixtlan the lessons of Don Juan,1
http://www.connaissance.io/onto/biblio/authors#Carlos_Castaneda,Tales of Power,1
http://www.connaissance.io/onto/biblio/authors#Carlos_Castaneda,The Second Ring of Power,1
http://www.connaissance.io/onto/biblio/authors#Carlos_Castaneda,The teachings of Don Juan : a Yaqui way of knowledge,1
http://www.connaissance.io/onto/biblio/authors#Carol_Brightman,Sweet chaos : the Grateful Dead's American adventure,1
http://www.connaissance.io/onto/biblio/authors#Cathleen_Schine,The evolution of Jane,1
http://www.connaissance.io/onto/biblio/authors#Cerridwen_Fallingstar,The Heart of the Fire : a novel,1
http://www.connaissance.io/onto/biblio/authors#Chad_Hautmann,Billie's Ghost,1
http://www.connaissance.io/onto/biblio/authors#Charles_Baker,"The Esquire culinary companion, being an exotic cookery book; or, Around Europe with knife, fork, and spoon",1
http://www.connaissance.io/onto/biblio/authors#Charles_Bukowski,Notes of a Dirty Old Man,1
http://www.connaissance.io/onto/biblio/authors#Charles_Bukowski,Tales of Ordinary Madness,1
http://www.connaissance.io/onto/biblio/authors#Charles_Frazier,Cold Mountain,1
http://www.connaissance.io/onto/biblio/authors#Charles_Larson,Under African Skies : modern African stories,1
http://www.connaissance.io/onto/biblio/authors#Charles_Scribner_Sons,A Little Treasure of Modern Poetry,1
http://www.connaissance.io/onto/biblio/authors#Charlie_Smith,Shine Hawk : a novel,1
http://www.connaissance.io/onto/biblio/authors#Chinua_Achebe,A Man of the People,1
http://www.connaissance.io/onto/biblio/authors#Chinua_Achebe,Things Fall Apart,1
http://www.connaissance.io/onto/biblio/authors#Chogyam_Trungpa,Shambhala : the sacred path of the warrior,1
